"","Index","Data","Fitted","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"1",2016-01-01,2772096.54267883,2655919.89842415,NA,NA,NA,NA,NA
"2",2016-02-01,2417146.88751841,2990994.99794095,NA,NA,NA,NA,NA
"3",2016-03-01,3957186.96422243,3539764.2668283,NA,NA,NA,NA,NA
"4",2016-04-01,3388949.65954113,3597586.21777111,NA,NA,NA,NA,NA
"5",2016-05-01,3133010.38664198,3321515.54666752,NA,NA,NA,NA,NA
"6",2016-06-01,2954886.05758286,3380520.23597853,NA,NA,NA,NA,NA
"7",2016-07-01,2310893.52201319,2494402.09700746,NA,NA,NA,NA,NA
"8",2016-08-01,3413966.54333115,3009485.07607574,NA,NA,NA,NA,NA
"9",2016-09-01,3225191.52672672,3234891.8652524,NA,NA,NA,NA,NA
"10",2016-10-01,3177390.37816477,3160537.79538521,NA,NA,NA,NA,NA
"11",2016-11-01,3810710.53149223,3694665.03311257,NA,NA,NA,NA,NA
"12",2016-12-01,3056095.1618557,3162201.03018283,NA,NA,NA,NA,NA
"13",2017-01-01,2324769.03867006,2655857.37047857,NA,NA,NA,NA,NA
"14",2017-02-01,3509052,2990887.72062803,NA,NA,NA,NA,NA
"15",2017-03-01,3077218,3539766.24659157,NA,NA,NA,NA,NA
"16",2017-04-01,3765977,3597500.15544496,NA,NA,NA,NA,NA
"17",2017-05-01,3474778,3321467.21496436,NA,NA,NA,NA,NA
"18",2017-06-01,3784343,3380506.10334774,NA,NA,NA,NA,NA
"19",2017-07-01,2669578,2494470.95389702,NA,NA,NA,NA,NA
"20",2017-08-01,2610152,3009589.81286429,NA,NA,NA,NA,NA
"21",2017-09-01,3263104,3234916.16900662,NA,NA,NA,NA,NA
"22",2017-10-01,3181659,3160565.88989369,NA,NA,NA,NA,NA
"23",2017-11-01,3636050,3694693.55189061,NA,NA,NA,NA,NA
"24",2017-12-01,3350772,3162212.07112357,NA,NA,NA,NA,NA
"25",2018-01-01,2878326,2655897.893066,NA,NA,NA,NA,NA
"26",2018-02-01,NA,NA,2990983.62316196,2604978.71446509,3376988.53185884,2400640.05896831,3581327.18735561
"27",2018-03-01,NA,NA,3539810.30620258,3153805.39557371,3925815.21683145,2949466.7390542,4130153.87335096
"28",2018-04-01,NA,NA,3597590.49353183,3211585.58097095,3983595.4060927,3007246.92342871,4187934.06363495
"29",2018-05-01,NA,NA,3321540.69675215,2935535.78225928,3707545.61124502,2731197.12369429,3911884.26981001
"30",2018-06-01,NA,NA,3380564.24621788,2994559.32979301,3766569.16264275,2790220.67020529,3970907.82223048
