"","year","month","total_sales","year_month"
"1",2018,1,2772096.54267883,"1-2018"
"2",2017,12,2417146.88751841,"12-2017"
"3",2017,11,3957186.96422243,"11-2017"
"4",2017,10,3388949.65954113,"10-2017"
"5",2017,9,3133010.38664198,"9-2017"
"6",2017,8,2954886.05758286,"8-2017"
"7",2017,7,2310893.52201319,"7-2017"
"8",2017,6,3413966.54333115,"6-2017"
"9",2017,5,3225191.52672672,"5-2017"
"10",2017,4,3177390.37816477,"4-2017"
"11",2017,3,3810710.53149223,"3-2017"
"12",2017,2,3056095.1618557,"2-2017"
"13",2017,1,2324769.03867006,"1-2017"
